"Track your packages","Verfolgen Sie Ihre Pakete"
"Track package with id %1$s <a href=""%2$s"" target=""_blank"">here</a>.","Den Lieferstatus des Pakets %1$s finden Sie <a href=""%2$s"" target=""_blank"">hier</a>."
"Code: %1$s track <a href=""%2$s"" target=""_blank"">here</a>.","Code: %1$s <a href=""%2$s"" target=""_blank"">hier</a> verfolgen."
