"* Required Fields","* Campos requeridos"
"Edit Campaign <i>%s</i>","Editar Campaña <i>%s</i>"
"Edit Group <i>%s</i>","Editar grupo<i>%s</i>"
"Element successfully deleted","Elemento borrado con éxito"
"Email","Correo electónico"
"E-Mail","E-Mail"
"Email Address","Dirección correo electónico "
"Enabled","Enabled"
"Enable Template","Enable Template"
"End Date","Fecha final"
"Ended","Terminado"
"Expire","caduca"
"February","Febrero"
"First Name","Nombre"
"Firstname","Nombre"
"Firstname:","Nombre:"
"Flash","Flash"
"Flash Advertising Details","Detalles anuncio Flash"
"Flash Advertising Settings","Configuración anuncio Flash"
"Flash File","Flash File"
"From Date","Desde"
"General","General"
"general_pending_periode","general_pending_periode"
"Generall","Generall"
"Group","Grupo"
"Group Description","Descripción grupo"
"Group Details","Detalles grupo"
"Group Name","Nombre grupo"
"Group was create successfully","Groupo creado con éxito"
"Group was saved successfully","Groupo grabado con éxito"
"Group(s)","Grupo(s)"
"Groups","Grupos"
"Handel","Comercio"
"Handle","Handle"
"Hidden","Escondido"
"Homepage","Página web"
"Homepage (http://...)","Página web (http://...)"
"Homepage Information","Información página web"
"HTML","HTML"
"Html Advertising Details","Detalles anuncio Html"
"Html Advertising Settings","Configuración anuncio Html"
"ID","ID"
"Image","Imágen"
"Image Height","Altura del imágen"
"Image Width","Anchura del imágen"
"Info","Info"
"Inherit","viene de"
"Inherit from Group#","viene del grupo #"
"Inmedias Affiliate - Affiliate View","Afiliación - Vista del afiliado"
"Inmedias Affiliate - Merchant View","Afiliación - Vista del vendedor"
"Invalid email address ","email inválido "
"IP","IP"
"Irrelevant","Irrelevante"
"January","Enero"
"July","Julio"
"June","Junio"
"Last Name","Apellidos"
"Last Update","Ultimo Update"
"Lastname","Apellidos"
"Lastname:","Apellidos:"
"Lead","Lead"
"Lead Lifetime","Lead Lifetime"
"Lead Lifetime (Invert)","Lead Lifetime (Invert)"
"Lead Lifetime Value","Lead Lifetime Valor"
"Leads","Leads"
"Leads Value","Leads Valor"
"Lifetime","Lifetime"
"Limited","Limitado"
"Login For Affiliates","Login Afiliados"
"March","Marzo"
"May","Mayo"
"Middle Name","Middle Name"
"Middlename","Middlename"
"Middlename:","Middlename:"
"MM","MM"
"Month","Mes"
"Name","Nombre"
"Never","nunca"
"New Affiliate","Afiliado nuevo"
"New Affiliate Notification","Notificación nuevo afiliado"
"New Password","Contraseña nueva"
"New Referring Website Notification","Notificación nueva página web de referencia"
"Newsletter","Boletín"
"Newsletter Leads Value","Boletín Leads Valor"
"Newsletter Value","Valor boletín"
"No","No"
"No Affiliate-Data Loadet","Data afliliado no cargado"
"Notconfirmed","Noconfirmado"
"Notification quantity","Notification quantity"
"Novemeber","Noviembre"
"October","Octubre"
"On status","On status"
"Open Advertising","Publicidad abierta"
"Open Affiliate","Abrir Afiliado"
"Open Customer","Abrir cliente"
"Open Order","Abrir pedido"
"Open Product","Abrir producto"
"Open Referring Website","Abrir página web de referencia"
"Order","Pedido"
"Orders","Pedidos"
"Paid","pagado"
"Pass","Pasa"
"Pass (Invert)","Pasa (Invert)"
"Pass Lead (Invert)","Pasa Lead (Invert)"
"Password Confirmation","Confirmación contraseña"
"Payment","Pago"
"Payment can not be delete","No se puede borrar pago"
"Payment can not be publish","No se puede publicar pago"
"Payment can not be save","No se puede guardar pago"
"Payment can not be update","No se puede update pago"
"Payment Data","Información pago"
"Payment Id","Id pago"
"Payment ID %s","ID pago %s"
"Payment offset","Pago offset"
"Payment was delete successfully","Pago borrado con éxito"
"Payment was paid successfully","Pago pagado con éxito"
"Payment was publish successfully","Pago publicado con éxito"
"Payment was save successfully","Pago grabado con éxito"
"Payment was update successfully","Pago actualizado con éxito"
